word1,word2,count,Cn1,Prob
auton,compani,1,1,0.250636267
autumn,rain,1,1,0.250159067
avail,agenc,1,2,0.125318134
avail,digit,1,2,0.1252386
avatar,get,1,1,0.254056204
ave,suit,1,1,0.250159067
avenu,cedar,1,3,0.083412867
avenu,cut,1,3,0.084208201
avenu,monday,1,3,0.083412867
averag,gossip,1,1,0.250079533
avicii,let,1,1,0.251908802
avocado,sauc,1,1,0.2502386
avoid,earli,1,2,0.125556734
avoid,violenc,1,2,0.125159067
awak,except,1,1,0.250318134
awaken,branch,1,1,0.250079533
awar,bias,1,3,0.083412867
awar,happen,1,3,0.083731
awar,link,1,3,0.0834924
award,huge,1,1,0.250397667
away,except,1,12,0.021151467
away,februari,1,12,0.021151467
away,fold,1,12,0.020912867
away,ipen,1,12,0.020912867
away,main,1,12,0.021231
away,math,1,12,0.021071934
away,miss,1,12,0.021390067
away,mouth,1,12,0.020912867
away,readi,1,12,0.021549134
away,said,1,12,0.025605338
away,three,1,12,0.021469601
away,wall,1,12,0.021469601
awesom,kid,1,3,0.083969601
awesom,waist,1,3,0.083386356
awhil,ago,1,1,0.2502386
awwh,love,1,1,0.252942736
axi,extrem,1,1,0.2502386
aye,realli,1,1,0.251193001
azeez,powel,1,1,0.250159067
azur,michelin,1,1,0.250079533
babe,can,1,1,0.254294804
babi,although,1,4,0.062818134
babi,differ,1,4,0.063136267
babi,mariam,1,4,0.062579533
babi,room,1,4,0.063136267
babysit,babi,1,1,0.250318134
baccala,stapl,1,1,0.250079533
bachelor,pad,1,1,0.250159067
back,aber,1,21,0.011980508
back,away,1,21,0.012737969
back,band,2,21,0.059978286
back,chula,1,21,0.011980508
back,craft,1,21,0.012056254
back,discov,1,21,0.011980508
back,friday,1,21,0.012434985
back,girlfriend,1,21,0.012056254
back,late,1,21,0.012737969
back,made,1,21,0.013116699
back,put,1,21,0.012586477
back,road,1,21,0.012586477
back,second,1,21,0.012510731
back,stabl,1,21,0.011980508
back,studio,1,21,0.012132
back,tattoo,1,21,0.011980508
back,vibe,1,21,0.011980508
back,wall,1,21,0.012510731
back,wanna,1,21,0.011980508
back,work,1,21,0.014177145
background,colour,1,1,0.250079533
backup,itun,1,1,0.250079533
backward,mimic,1,1,0.250079533
backyard,admir,1,1,0.250079533
bad,american,1,15,0.016905267
bad,ass,1,15,0.017143867
bad,doesn,1,15,0.017621068
bad,don,1,15,0.019688936
bad,far,1,15,0.017064334
bad,get,1,15,0.02072287
bad,hang,1,15,0.017064334
bad,late,1,15,0.017541534
bad,ll,1,15,0.018336868
bad,made,1,15,0.017939201
bad,paper,1,15,0.017143867
bad,shape,1,15,0.0169848
bad,smoke,1,15,0.0169848
bad,thing,1,15,0.018734535
bad,use,1,15,0.018655002
